# (c) Der Bundeswahlleiter, Wiesbaden 2017
# 
# Wahl zum 19. Deutschen Bundestag (24. September 2017)
# Endgültige Ergebnisse der Erst- und Zweitstimmen sowie der Vorperiode nach Wahlkreisen
# 
Nr;Gebiet;gehört zu;Wahlberechtigte;;;;Wähler;;;;Ungültige;;;;Gültige;;;;Christlich Demokratische Union Deutschlands;;;;Sozialdemokratische Partei Deutschlands;;;;DIE LINKE;;;;BÜNDNIS 90/DIE GRÜNEN;;;;Christlich-Soziale Union in Bayern e.V.;;;;Freie Demokratische Partei;;;;Alternative für Deutschland;;;;Piratenpartei Deutschland;;;;Nationaldemokratische Partei Deutschlands;;;;FREIE WÄHLER;;;;PARTEI MENSCH UMWELT TIERSCHUTZ;;;;Ökologisch-Demokratische Partei;;;;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;;;;Bayernpartei;;;;Ab jetzt...Demokratie durch Volksabstimmung;;;;Partei der Vernunft;;;;Marxistisch-Leninistische Partei Deutschlands;;;;Bürgerrechtsbewegung Solidarität;;;;Sozialistische Gleichheitspartei, Vierte Internationale;;;;DIE RECHTE;;;;Allianz Deutscher Demokraten;;;;Allianz für Menschenrechte, Tier- und Naturschutz;;;;bergpartei, die überpartei;;;;Bündnis Grundeinkommen;;;;DEMOKRATIE IN BEWEGUNG;;;;Deutsche Kommunistische Partei;;;;Deutsche Mitte;;;;Die Grauen – Für alle Generationen;;;;Die Urbane. Eine HipHop Partei;;;;Magdeburger Gartenpartei;;;;Menschliche Welt;;;;Partei der Humanisten;;;;Partei für Gesundheitsforschung;;;;V-Partei³ - Partei für Veränderung, Vegetarier und Veganer;;;;Bündnis C - Christen für Deutschland;;;;DIE EINHEIT;;;;Die Violetten;;;;Familien-Partei Deutschlands;;;;Feministische Partei DIE FRAUEN;;;;Mieterpartei;;;;Neue Liberale – Die Sozialliberalen;;;;UNABHÄNGIGE für bürgernahe Demokratie;;;;Übrige;;;;
103;Solingen – Remscheid – Wuppertal II;5;222845;226117;222845;226117;164019;160929;164019;160929;2257;2357;1550;1908;161762;158572;162469;159021;61871;70269;51318;62029;49863;52931;40743;48123;10105;9222;12689;10740;9403;11334;11726;12676;;;;;12548;4170;22947;9650;15303;5784;16221;6853;;4432;774;3901;;;334;1590;;;331;347;;;1346;;;;164;216;2403;;1331;786;;;;;;;140;320;;;;138;266;430;106;177;;;;32;;;18;36;;;;25;;;1214;;;;;;;;;;;;166;;;;185;;;;21;;;;249;;;;;;;;;;;;;;;;;;;;102;;;;171;;;;173;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1382;
104;Mettmann I;5;205244;205564;205244;205564;160315;154473;160315;154473;1765;1800;1150;1590;158550;152673;159165;152883;70762;75628;54126;65696;40819;52832;36596;43173;8647;5697;10216;7808;11014;7735;11796;11699;;;;;13202;2964;25757;9660;14106;4683;15053;7764;;3134;707;3243;;;266;1273;;;344;305;;;1294;;;;176;229;;;1071;457;;;;;;;156;273;;;;101;;;59;26;;;;45;;;17;30;;;;47;;;571;;;;;;;;;;;;147;;;;178;;;;22;;;;167;;;;;;;;;;;;;;;;;;;;107;;;;158;;;;181;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1054;
105;Mettmann II;5;163229;165493;163229;165493;125496;123036;125496;123036;1510;1657;1056;1382;123986;121379;124440;121654;48689;55307;40601;50254;37468;45091;30492;37580;6825;5166;8458;6646;7567;5987;8599;8408;;;;;10795;2920;19691;7421;11143;3911;11926;5730;1451;2997;630;2655;;;252;1097;;;294;197;;;1186;;;;122;147;;;822;347;;;;;;;114;212;;;;74;;;73;31;;;;26;;;13;21;;;;39;;;493;;;;;;;;;;;;98;;;;121;;;;15;;;;140;;;;;;;;;;;;;;;;;;;;56;;;;118;;;;126;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48;;;769;
106;Düsseldorf I;5;220764;218889;220764;218889;172947;165028;172947;165028;1560;1635;1037;1353;171387;163393;171910;163675;69273;78206;55052;65978;41903;47731;33493;43269;12611;8657;14675;10505;14408;13427;17148;15445;;;;;21944;5825;33940;14985;10912;5021;12029;6891;;3063;620;3458;;824;204;770;;;310;241;;;1024;;;;130;182;;;1417;541;;;;;;;93;202;;;;89;336;173;121;81;;;;33;;;14;28;;;;21;;;444;;;;;;;;;;;;213;;;;328;;;;46;;;;163;;;;;;;;;;;;;;;;;;;;138;;;;105;;;;203;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;466;;956;
107;Düsseldorf II;5;193175;196250;193175;196250;143599;139390;143599;139390;1771;1983;1053;1348;141828;137407;142546;138042;47950;55990;40606;51050;38727;48065;33218;41737;18499;12538;14111;10705;11778;10315;14379;13399;;;;;13049;3980;21277;7979;11530;;12968;5845;;3848;628;3509;;1330;246;1048;;;371;256;;;1098;;;;134;188;;;1589;556;;;;;;;124;245;;;;85;295;;116;61;;380;;81;;;9;35;;;;18;;;529;;;;;;;;;;;;181;;;;269;;;;42;;;;180;;;;;;;;;;;;;;;;;;;;129;;;;145;;;;197;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;961;;1245;
108;Neuss I;5;214779;214614;214779;214614;160050;154444;160050;154444;1758;1878;1275;1635;158292;152566;158775;152809;69658;78712;56983;69480;45314;46619;37438;42604;8535;5983;9895;7606;8131;7226;9583;9363;;;;;11471;3507;23585;9418;13675;4155;14887;6276;;3891;723;3666;;1665;335;1503;1508;808;553;646;;;1313;;;;159;187;;;1225;464;;;;;;;141;297;;;;107;;;82;39;;;;43;;;13;39;;;;26;;;848;;;;;;;;;;;;163;;;;222;;;;28;;;;158;;;;;;;;;;;;;;;;;;;;102;;;;141;;;;198;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1045;
109;Mönchengladbach;5;190552;192676;190552;192676;132006;127559;132006;127559;1563;1953;1170;1617;130443;125606;130836;125942;57766;63843;46786;55030;31766;36665;30547;35447;8921;7827;9627;8080;7814;7638;8169;7792;;;;;10225;2847;17946;7414;11910;4259;12373;5255;;;582;3149;;1663;350;1339;;;279;316;;;1100;;;;110;158;1956;864;1280;744;;;;;;;126;199;;;;123;;;85;30;;;;20;;;6;23;;;;20;;;613;;;;;;;;;;;;130;;;;142;;;;22;;;;111;;;;;;;;;;;;;;;;;;;;91;;;;118;;;;243;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;85;;;803;
110;Krefeld I – Neuss II;5;201450;202204;201450;202204;155434;150999;155434;150999;1761;1858;1244;1579;153673;149141;154190;149420;65228;73201;54907;66802;39142;46148;34051;40968;7815;6165;9805;7768;10140;8693;10871;10303;;;;;17673;5447;26859;10901;11196;3633;12104;5753;;3372;634;3173;;1415;310;1192;;529;371;457;;;1041;;;;159;165;2308;538;1318;596;;;;;;;123;301;;;;80;171;;82;42;;;;34;;;6;34;;;;24;;;764;;;;;;;;;;;;135;;;;161;;;;20;;;;127;;;;;;;;;;;;;;;;;;;;62;;;;117;;;;163;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;827;
111;Viersen;5;227423;227631;227423;227631;173280;167490;173280;167490;1690;1886;1262;1693;171590;165604;172018;165797;82165;87764;65475;76747;42932;47198;38368;44103;8747;7998;10342;8897;11478;8880;11591;11106;;;;;14233;3857;27576;10493;12035;4182;12841;6806;;3466;712;3464;;1684;366;1557;;575;433;457;;;1446;;;;149;204;;;1207;552;;;;;;;138;355;;;;113;;;52;32;;;;37;;;9;43;;;;20;;;363;;;;;;;;;;;;151;;;;185;;;;29;;;;162;;;;;;;;;;;;;;;;;;;;96;;;;163;;;;164;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;811;
112;Kleve;5;226096;225823;226096;225823;169057;161873;169057;161873;1674;2383;1399;1713;167383;159490;167658;160160;75375;81216;69700;77833;51197;52778;39316;43253;7096;;9366;7322;8230;9220;10098;9856;;;;;12692;5003;22687;9094;11019;5316;11621;6300;;4327;560;3212;;1630;330;1293;1606;;614;234;;;1170;;;;157;198;;;969;377;;;;;;;125;280;;;;101;;;63;31;;;;24;;;5;23;;;;30;;;56;;;;;;;;;;;;135;;;;165;;;;15;;;;120;;;;;;;;;;;;;;;;;;;;73;;;;142;;;;171;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;168;;;699;
113;Wesel I;5;207178;207485;207178;207485;160344;153981;160344;153981;1663;1736;1246;1512;158681;152245;159098;152469;61849;66172;53623;59970;52085;59709;45627;53249;9461;7527;10637;9091;8763;7489;9743;9780;;;;;12644;2781;19709;7224;13615;4510;14325;5678;;3567;664;3154;;;361;1646;;;380;295;;;1223;;;;142;158;;;1136;643;;;;;;;144;256;;;;116;264;;121;36;;;;25;;;10;28;;;;39;;;405;;;;;;;;;;;;132;;;;159;;;;11;;;;156;;;;;;;;;;;;;;;;;;;;71;;;;171;;;;148;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;490;;1081;
114;Krefeld II – Wesel II;5;179118;182593;179118;182593;133705;131185;133705;131185;1608;1948;1175;1489;132097;129237;132530;129696;48817;51835;40955;47806;42219;53578;36714;44856;7418;6994;10090;8546;8063;6888;9307;9485;;;;;10769;3245;18032;7237;11294;;12186;5085;1433;3040;663;2739;;2039;251;1463;;730;319;402;;;946;;;;111;126;1846;620;1248;534;;;;;;;110;222;;;;106;238;268;120;110;;;;30;;;10;27;;;;26;;;669;;;;;;;;;;;;178;;;;143;;;;33;;;;164;;;;;;;;;;;;;;;;;;;;47;;;;109;;;;125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;896;
115;Duisburg I;5;167998;171223;167998;171223;121638;121815;121638;121815;2870;2161;2022;1500;118768;119654;119616;120315;34053;38477;30746;36109;45455;55779;37925;47165;8146;8802;10369;9475;6648;6107;7844;8341;;;;;8289;1955;12491;4044;13648;;13549;6211;2012;3926;717;2897;;4608;439;2748;;;294;207;;;1110;;;;106;156;;;1353;517;;;;;;;107;267;;;;91;517;;209;181;;;;36;;;19;43;;;;63;;;1536;;;;;;;;;;;;118;;;;140;;;;44;;;;129;;;;;;;;;;;;;;;;;;;;86;;;;118;;;;167;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1764;
116;Duisburg II;5;160204;166103;160204;166103;103704;105682;103704;105682;3396;2063;1912;1550;100308;103619;101792;104132;26522;30654;22830;27665;34799;44759;34695;44727;8885;8920;8546;9160;4622;5371;4493;5376;;;;;7054;1680;8369;2891;16643;4299;15794;5349;;2909;688;2449;;4676;594;3507;;;262;143;;;1068;;;;61;75;;;938;365;;;;;;;102;248;;;;72;368;351;213;228;;;;32;;;20;52;;;;77;;;2483;;;;;;;;;;;;108;;;;104;;;;41;;;;116;;;;;;;;;;;;;;;;;;;;52;;;;116;;;;99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1415;;;1716;
117;Oberhausen – Wesel III;5;204816;208991;204816;208991;150312;147679;150312;147679;2191;2469;1451;1912;148121;145210;148861;145767;43077;46889;39085;43882;56987;65442;49165;60222;11331;10627;12373;11732;8349;11396;8228;9604;;;;;9357;2415;14890;4802;18197;;18560;6145;;4440;795;3579;;4001;508;2938;;;362;225;;;1422;;;;133;167;;;1284;525;;;;;;;166;293;;;;116;269;;146;92;;;;49;;;24;47;;;;47;;;942;;;;;;;;;;;;122;;;;131;;;;31;;;;115;;;;;;;;;;;;;;;;;;;;86;;;;143;;;;150;;;;;;;;;;554;;;;;;;;;;;;;;;;;;;;;;;;;;;1302;
118;Mülheim – Essen I;5;187746;191475;187746;191475;142858;140961;142858;140961;1794;1796;1207;1483;141064;139165;141651;139478;44219;49487;39847;47247;49226;58741;41731;53275;9210;7664;10546;8968;8690;8824;9465;9837;;;;;12729;3412;18337;6388;16221;5383;16200;6404;;3093;552;2858;;2339;309;2029;;;274;167;;;1297;;;;134;142;;;1234;491;;;;;;;116;217;;;;78;339;222;163;108;;;;41;;;27;42;;;;53;;;570;;;;;;;;;;;;135;;;;179;;;;62;;;;117;;;;;;;;;;;;;;;;;;;;79;;;;126;;;;151;;;;;;;;;;430;;;;;;;;;;;;;;;;;;;;;;;;;;;1133;
119;Essen II;5;163326;167962;163326;167962;110369;108599;110369;108599;1615;1614;1154;1319;108754;106985;109215;107280;28912;33243;25606;30540;40601;51677;34727;44684;8555;7752;9524;8716;5846;5382;6746;7616;;;;;7207;1721;10583;3627;17153;;16339;4556;;3048;576;2733;;2884;378;2014;;;239;212;;;1088;;;;90;88;;734;1224;723;;;;;;;132;191;;;;92;257;240;186;168;;304;;81;;;8;21;;;;28;;;935;;;;;;;;;;;;114;;;;172;;223;;88;;;;128;;;;;;;;;;;;;;;;;;;;77;;;;133;;;;122;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1190;
120;Essen III;5;192918;195692;192918;195692;153336;151040;153336;151040;1232;1551;927;1268;152104;149489;152409;149772;56393;59101;45826;54310;46829;59008;37699;49626;9846;7341;12574;9855;12511;11576;14312;14550;;;;;12639;3007;23068;8581;12306;4015;12735;5812;;3169;554;3087;;1489;259;1294;;;292;236;;;1356;;;;173;186;;;1791;757;;;;;;;151;190;;;;98;208;;134;100;;213;;91;;;13;32;;;;21;;;364;;;;;;;;;;;;173;;;;249;;197;;89;;;;115;;;;;;;;;;;;;;;;;;;;97;;;;134;;;;251;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1175;570;;946;
121;Recklinghausen I;5;169267;172167;169267;172167;123958;122346;123958;122346;1716;1801;1074;1419;122242;120545;122884;120927;37792;41383;35108;40898;47257;54504;38822;48070;8043;7410;8970;8244;6079;6178;7132;7716;;;;;8791;2426;12674;4100;13953;3921;14777;5464;;2953;540;2661;;1770;362;1530;;;320;185;;;1060;;;;78;152;;;1163;410;;;;;;;138;217;;;;79;327;;168;86;;;;21;;;8;37;;;;41;;;892;;;;;;;;;;;;100;;;;124;;;;14;;;;109;;;;;;;;;;;;;;;;;;;;66;;;;134;;;;125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1016;
122;Recklinghausen II;5;189376;191504;189376;191504;140795;137426;140795;137426;4648;2221;1285;1702;136147;135205;139510;135724;46982;49404;41079;47082;56019;61748;44224;54378;11502;7529;9201;8501;6363;6733;7189;7860;;;;;13903;2122;14759;4813;;;17387;5494;;3807;667;3140;;2574;306;1730;;;365;266;;;1234;;;;104;131;;;887;468;;;;;;;174;328;;;;128;1378;282;163;140;;;;29;;;6;61;;;;66;;;1026;;;;;;;;;;;;111;;;;97;;;;25;;;;167;;;;;;;;;;;;;;;;;;;;66;;;;150;;;;123;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1006;;1109;
123;Gelsenkirchen;5;175210;181476;175210;181476;119414;118452;119414;118452;1993;1608;1348;1504;117421;116844;118066;116948;29768;33460;26452;32380;45017;58967;39524;51514;7614;7112;8703;8880;5444;4270;5489;6413;;;;;7864;1933;10834;3468;19836;4405;20113;5553;;2670;550;2569;;2833;417;2562;1276;701;461;448;;;1273;;;;109;82;;;1010;456;;;;;;;132;205;;;;112;602;493;384;398;;;;17;;;24;22;;;;48;;;1904;;;;;;;;;;;;115;;;;100;;;;39;;;;86;;;;;;;;;;;;;;;;;;;;75;;;;163;;;;109;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1821;
124;Steinfurt I – Borken I;5;202192;201091;202192;201091;154606;147449;154606;147449;1424;1602;1028;1243;153182;145847;153578;146206;78579;75853;67425;72802;39584;46459;35466;41073;7554;5484;8433;6420;8118;7458;9142;8936;;;;;10082;4075;19339;7434;9265;3272;9719;4126;;3246;541;2778;;;255;943;;;368;282;;;762;;;;122;155;;;883;434;;;;;;;90;152;;;;90;;;56;20;;;;16;;;7;24;;;;28;;;290;;;;;;;;;;;;120;;;;120;;;;15;;;;130;;;;;;;;;;;;;;;;;;;;72;;;;127;;;;96;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;493;
125;Bottrop – Recklinghausen III;5;202793;206061;202793;206061;151842;148181;151842;148181;1983;2010;1328;1693;149859;146171;150514;146488;50334;53354;44967;51021;55128;66913;47013;58800;9505;7827;10292;9153;6522;5277;7248;7998;;;;;9667;2372;15741;5095;17756;5530;18710;6034;;3613;667;3029;;;421;2208;;;294;177;;;1330;;;986;340;465;;;1062;495;;;;;;;160;280;;;;110;256;299;119;142;;;;36;;;12;53;;;;54;;;1140;;;;;;;;;;;;107;;;;110;;691;;337;;;;129;;;;;;;;;;;;;;;;;;;;57;;;;143;;;;115;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1338;
126;Borken II;5;199978;198648;199978;198648;158146;151387;158146;151387;2375;1401;1090;1118;155771;149986;157056;150269;81496;86028;73881;80352;39412;40643;33697;38391;6969;4513;6540;5447;10496;9548;9220;9138;;;;;14216;3389;20609;7915;;2849;9405;4042;;3016;441;2468;;;195;948;3182;;553;248;;;768;;;;156;167;;;711;352;;;;;;;100;182;;;;78;;;45;17;;;;17;;;13;22;;;;12;;;123;;;;;;;;;;;;65;;;;99;;;;22;;;;104;;;;;;;;;;;;;;;;;;;;76;;;;125;;;;108;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;473;
127;Coesfeld – Steinfurt II;5;192946;190611;192946;190611;156813;149678;156813;149678;2434;1297;987;1193;154379;148381;155826;148485;79677;83175;68636;74391;36250;39724;32787;38075;9577;4929;8394;6167;12680;10346;11667;12083;;;;;16195;3826;21116;8328;;3036;9496;4216;;2884;495;2605;;;233;812;;;248;267;;;839;;;;178;188;;;841;472;;;;;;;110;171;;;;96;;;31;22;;;;14;;;7;29;;;;13;;;50;;;;;;;;;;;;84;;;;150;;;;17;;;;130;;;;;;;;;;;;;;;;;;;;65;;;;139;;;;113;;;;;;;;;;;;;;;461;;;;;;;;;;;;;;;;;;;;;;536;
128;Steinfurt III;5;195571;193909;195571;193909;152541;146050;152541;146050;1364;1336;1158;1296;151177;144714;151383;144754;67678;69385;57215;62729;45797;52786;41815;48324;8520;5533;9692;6765;9857;8464;11026;10981;;;;;8533;2603;17205;6822;9530;2566;10342;4028;;2356;560;2504;;1021;259;940;1124;;421;279;;;794;;;;118;123;;;899;465;;;;;;;68;156;;;;89;138;;68;25;;;;16;;;12;24;;;;16;;;265;;;;;;;;;;;;105;;;;106;;;;20;;;;119;;;;;;;;;;;;;;;;;;;;52;;;;113;;;;109;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;468;
129;Münster;5;232294;227762;232294;227762;191090;180093;191090;180093;1236;1527;964;1291;189854;178566;190126;178802;70606;69352;62276;67626;54778;63296;39714;48579;13024;7620;19287;11254;24248;19767;27739;27118;;;;;13219;10222;25684;12119;8569;3651;9393;5236;1003;3582;712;4037;;;111;490;;;246;195;;;781;;1027;752;641;595;2722;;1935;673;;;;;;;110;123;;;;113;107;;64;51;;;;21;;;8;27;;;;23;;;137;;;;;;;;;;;;218;;;;337;;173;;66;;;;192;;;;;;;;;;;;;;;;;;;;158;;;;95;;;;222;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;378;324;;522;
130;Warendorf;5;209604;210355;209604;210355;163531;158085;163531;158085;1945;1684;1387;1552;161586;156401;162144;156533;75017;80272;65357;73764;45094;50056;38992;45609;7738;5488;8997;6858;8968;9300;10815;11305;;;;;11291;3533;21175;8486;11078;3455;12025;4571;;3163;538;3123;;1134;271;1090;;;472;378;;;808;;;;153;178;1886;;1056;329;;;;;;;142;223;;;;70;;;30;23;;;;25;;;13;29;;;;4;;;622;;;;;;;;;;;;102;;;;90;;;;12;;;;153;;;;;;;;;;;;;;;;;;;;69;;;;119;;;;133;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;514;;;468;
131;Gütersloh I;5;234272;233596;234272;233596;176708;168983;176708;168983;2082;2080;1681;1840;174626;166903;175027;167143;81298;83869;67175;77361;48942;56031;40104;47962;7582;7133;10595;8332;9992;9069;13817;13148;;;;;11401;3146;22848;8236;13996;4178;15081;5286;;3134;595;3070;;;329;1260;1415;;655;454;;;975;;;;220;354;;;1081;437;;;;;;;152;222;;;;112;;;47;20;;;;21;;;10;38;;;;17;;;454;;;;;;;;;;;;138;;;;130;;;;21;;;;178;;;;;;;;;;;;;;;;;;;;77;;;;167;;;;178;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;343;;813;
132;Bielefeld – Gütersloh II;5;246216;247179;246216;247179;186152;179625;186152;179625;2075;2476;1536;2077;184077;177149;184616;177548;56485;66021;50995;62698;61086;67464;46883;57931;16489;12153;20522;14869;17728;19026;20567;20711;;;;;13495;3523;21364;7055;15028;4398;16514;6076;;4564;938;4189;;;289;1233;;;388;226;;;1092;;;;201;280;3473;;2168;741;;;;;;;141;315;;;;93;293;;142;97;;;;39;;;28;51;;;;34;;;1039;;;;;;;;;;;;263;;;;293;;;;47;;;;235;;;;;;;;;;;;;;;;;;;;125;;;;138;;;;244;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;910;
133;Herford – Minden-Lübbecke II;5;228976;230975;228976;230975;168664;163815;168664;163815;2072;2482;1617;1855;166592;161333;167047;161960;59571;65873;52994;63755;61205;66637;47940;56554;9353;8706;11589;9409;8444;8209;11485;12297;;;;;9411;5651;19186;6798;16633;;18098;5832;;4697;640;3350;;;342;1267;1975;1119;972;661;;;1222;;;;133;186;;;1002;476;;;;;;;153;286;;;;109;;;70;36;;;;29;;;8;32;;;;22;;;408;;;;;;;;;;;;112;;;;127;;;;23;;;;159;;;;;;;;;;;;;;;;;;;;73;;;;140;;;;171;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;441;;861;
134;Minden-Lübbecke I;5;204203;206505;204203;206505;151181;145637;151181;145637;1651;2113;1508;1611;149530;143524;149673;144026;53057;66385;49160;59134;55868;58186;43966;49536;7862;5943;9432;7114;7372;5923;9625;10527;;;;;10575;2738;16865;6640;14796;;15829;5170;;3756;626;2893;;;293;936;;593;448;358;;;947;;;;157;151;;;1052;395;;;;;;;148;254;;;;89;;;51;30;;;;16;;;4;31;;;;28;;;228;;;;;;;;;;;;169;;;;121;;;;19;;;;156;;;;;;;;;;;;;;;;;;;;79;;;;145;;;;153;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;724;
135;Lippe I;5;170501;172330;170501;172330;128938;125708;128938;125708;1661;1797;1401;1514;127277;123911;127537;124194;46526;49783;40214;48776;40908;50934;35509;43583;6870;5186;8399;6369;7671;7070;8869;9123;;;;;10690;2873;15916;5698;13005;3154;14147;4758;;2814;553;2498;;;278;1020;1607;868;871;788;;;879;;;;121;133;;;784;379;;;;;;;121;238;;;;95;;;37;27;;;;18;;;7;36;;;;29;;;185;;;;;;;;;;;;117;;;;78;;;;19;;;;182;;;;;;;;;;;;;;;;;;;;56;;;;100;;;;95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1229;;626;
136;Höxter – Lippe II;5;211026;213488;211026;213488;159883;155994;159883;155994;2029;2260;1692;1996;157854;153734;158191;153998;69910;76882;58939;70520;42211;48159;39038;45707;8724;6328;10188;7894;9400;8757;10194;10266;;;;;10813;2956;19543;7423;14443;4004;15197;5545;;2854;603;2853;;1312;336;1188;1482;1086;758;807;;;956;;871;693;348;400;;;959;438;;;;;;;120;221;;;;91;;;32;22;;;;22;;;11;29;;;;19;;;211;;;;;;;;;;;;158;;;;98;;;;14;;;;149;;;;;;;;;;;;;;;;;;;;55;;;;145;;;;139;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;703;;553;
137;Paderborn – Gütersloh III;5;249359;247138;249359;247138;187479;176149;187479;176149;1882;2103;1582;2001;185597;174046;185897;174148;99004;102867;75628;89394;36983;40429;35055;40630;9554;6969;12292;9065;11116;11254;13612;12445;;;;;10228;3296;24976;8774;16891;3521;18484;6296;1821;3800;814;3682;;1442;294;1383;;;488;500;;;1084;;;;223;293;;;1266;438;;;;;;;172;257;;;;126;;;39;17;;;;31;;;13;31;;;;24;;;301;;;;;;;;;;;;162;;;;191;;;;10;;;;309;;;;;;;;;;;;;;;;;;;;110;;;;162;;;;212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;468;;762;
138;Hagen – Ennepe-Ruhr-Kreis I;5;207384;212903;207384;212903;150044;147183;150044;147183;1745;2595;1250;1737;148299;144588;148794;145446;44948;49329;42972;51328;58206;68044;43548;53380;8045;8181;10743;9820;5752;6521;8673;9806;;;;;11727;4978;18722;6604;16716;;17622;6374;;3931;683;3262;;2822;457;1611;;;410;373;;;1533;;;;154;159;;;1202;566;;;;;;;182;305;;;;113;278;268;174;96;;;;20;;;15;33;;;;29;;;824;;;;;;;;;;;;120;;;;136;;;;41;;;;153;;;;;;;;;;;;;;;;;;;;104;;;;177;;;;149;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2627;514;;1567;
139;Ennepe-Ruhr-Kreis II;5;178506;181174;178506;181174;137632;134749;137632;134749;3256;1897;1208;1600;134376;132852;136424;133149;44273;47530;37284;44028;49333;56197;40767;50946;10804;6743;11092;8498;11538;10964;11142;12071;;;;;14175;2666;17270;5977;;3993;13190;5178;3565;3003;881;2951;;1523;264;1241;;;291;197;;;1239;;;;183;187;;;1158;487;;;;;;;143;222;;;;75;688;233;158;156;;;;19;;;9;37;;;;44;;;452;;;;;;;;;;;;163;;;;198;;;;46;;;;133;;;;;;;;;;;;;;;;;;;;80;;;;135;;;;146;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;835;
140;Bochum I;5;206460;210904;206460;210904;156941;154030;156941;154030;1924;2865;1237;1848;155017;151165;155704;152182;43773;53861;39580;46448;57655;66851;46243;58766;15462;10331;15953;12022;11937;10323;13862;14667;;;;;10923;2069;17449;5862;14775;;15190;5820;;4608;765;3903;;2832;408;1916;;;302;286;;;1418;;;;180;237;;;1924;678;;;;;;;138;245;;;;71;492;290;167;145;;;;36;;;14;36;;;;48;;;904;;;;;;;;;;;;219;;;;270;;;;45;;;;155;;;;;;;;;;;;;;;;;;;;143;;;;158;;;;217;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;996;
141;Herne – Bochum II;5;179247;184009;179247;184009;127974;126927;127974;126927;2230;2397;1484;1794;125744;124530;126490;125133;30361;37807;29629;35149;52672;60610;43312;54876;10064;9500;10860;10162;6992;7194;7414;8275;;;;;8448;1894;11560;3528;16799;;17001;4949;;3779;788;3078;;3348;510;2225;;;321;217;;;1435;;;;131;156;;;1234;480;;;;;;;135;267;;;;88;408;398;201;198;;;;24;;;27;40;;;;54;;;1106;;;;;;;;;;;;159;;;;129;;;;23;;;;122;;;;;;;;;;;;;;;;;;;;83;;;;177;;;;133;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1367;
142;Dortmund I;5;211316;213946;211316;213946;156097;149031;156097;149031;1571;1562;1174;1546;154526;147469;154923;147485;44228;45310;37967;42712;59990;67019;46424;56180;11874;8835;15506;11653;11281;11042;14702;15827;;;;;9063;2882;17193;6107;14644;5188;15197;6060;2091;3775;1041;4078;;2139;456;1894;993;634;437;437;;;1304;;;;162;172;;;2137;731;;;;;;;156;304;;;;137;362;254;176;154;;;;27;;;20;32;;;;125;;;838;;;;;;;;;;;;229;;;;266;;;;52;;;;149;;;;;;;;;;;;;;;;;;;;120;;;;163;;;;228;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;391;;855;
